Edisi;Tahun;Provinsi;Emas;Perak;Perunggu;Total;;;;;;;;;;;
1;1948;Jawa Tengah;19;12;21;52;;;;;;;;;;;
1;1948;DI Yogyakarta;11;9;3;23;;;;;;;;;;;
1;1948;Jawa Timur;9;10;6;25;;;;;;;;;;;
1;1948;Jawa Barat;3;0;1;4;;;;;;;;;;;
1;1948;DKI Jakarta;0;2;2;4;;;;;;;;;;;
2;1951;Jawa Barat;21;10;11;42;;;;;;;;;;;
2;1951;DKI Jakarta;17;19;16;52;;;;;;;;;;;
2;1951;Jawa Timur;9;13;12;34;;;;;;;;;;;
2;1951;Jawa Tengah;7;14;13;34;;;;;;;;;;;
2;1951;Sulawesi Selatan;4;3;1;8;;;;;;;;;;;
2;1951;Sumatra Utara;4;0;0;4;;;;;;;;;;;
2;1951;Sulawesi Utara;2;3;6;11;;;;;;;;;;;
2;1951;Sumatra Selatan;1;1;2;4;;;;;;;;;;;
2;1951;Kalimantan Timur/Selatan;0;1;3;4;;;;;;;;;;;
2;1951;Maluku;0;1;1;2;;;;;;;;;;;
3;1953;Jawa Barat;24;12;14;50;;;;;;;;;;;
3;1953;DKI Jakarta;9;16;14;39;;;;;;;;;;;
3;1953;Jawa Timur;9;8;12;29;;;;;;;;;;;
3;1953;Sumatra Utara;9;5;4;18;;;;;;;;;;;
3;1953;Jawa Tengah;6;12;16;34;;;;;;;;;;;
3;1953;Sulawesi Utara;5;4;2;11;;;;;;;;;;;
3;1953;Sulawesi Selatan;2;8;1;11;;;;;;;;;;;
3;1953;Sumatra Selatan;2;0;2;4;;;;;;;;;;;
3;1953;Maluku;1;5;2;8;;;;;;;;;;;
3;1953;Sunda Kecil;1;1;5;7;;;;;;;;;;;
3;1953;Sumatra Tengah;0;1;3;4;;;;;;;;;;;
3;1953;Kalimantan Barat;0;0;0;0;;;;;;;;;;;
3;1953;Kalimantan Timur;0;0;0;0;;;;;;;;;;;
4;1957;DKI Jakarta;21;18;16;55;;;;;;;;;;;
4;1957;Jawa Timur;16;18;8;42;;;;;;;;;;;
4;1957;Jawa Tengah;16;9;15;40;;;;;;;;;;;
4;1957;Jawa Barat;9;17;11;37;;;;;;;;;;;
4;1957;Sumatra Utara;4;11;13;28;;;;;;;;;;;
4;1957;Sulawesi Utara;2;10;10;22;;;;;;;;;;;
4;1957;Kalimantan Selatan;2;0;0;2;;;;;;;;;;;
4;1957;Sulawesi Selatan;1;6;10;17;;;;;;;;;;;
4;1957;Sumatra Tengah;1;3;0;4;;;;;;;;;;;
4;1957;Sumatra Selatan;0;1;2;3;;;;;;;;;;;
4;1957;Maluku;0;3;2;5;;;;;;;;;;;
